name,id,road_class,speed_limit,cans_out,cans_actual,cans_per,cansperout,cans_density,est_time,slope,length,backuponly,time_obs_raw,sinuosityindex,time_obs_secs,predsecs,time_obs,difference,time_obs_days,time_obs_ex2
id,1,0.05992404,-0.041570305,-0.03917303,-0.03241807,-0.032367606,-0.027778395,-0.14395879,0.007779352,-0.00509,0.177924047,-0.079065722,0.01405365,0.048154421,0.016244176,0.013290191,0.01405365,-0.001476426,-0.0118,-0.0118
road_class,0.059924042,1,-0.615281207,0.08395981,0.01467719,0.019968146,0.071036772,0.01695529,0.057608732,-0.0125,0.085339703,0.428599067,0.187027211,0.088782509,0.189139625,0.116735344,0.187027211,-0.097691983,-0.0182,-0.0182
speed_limit,-0.041570305,-0.61528121,1,-0.09096018,-0.02037005,-0.020492917,-0.086268973,-0.0243689,-0.056646115,-0.0108,0.009287423,-0.224066753,-0.143443101,-0.087915905,-0.143460993,-0.087496357,-0.143443101,0.07756795,-0.00346,-0.00346
cans_out,-0.03917303,0.08395981,-0.090960184,1,0.67779294,0.677943091,0.198791439,0.18857201,0.688372028,0.0276,0.473245307,0.103568145,0.872172606,0.205365961,0.872781175,0.688713134,0.872172606,-0.268241275,0.527,0.527
cans_actual,-0.03241807,0.01467719,-0.020370051,0.67779294,1,0.996728003,-0.35471647,0.54022956,0.986794776,0.0109,0.566868398,-0.044774632,0.644874315,0.078252101,0.646369264,0.966350985,0.644874315,0.394957174,0.453,0.453
cans_per,-0.032367606,0.01996815,-0.020492917,0.67794309,0.996728,1,-0.356168301,0.53295082,0.985017729,-0.0032,0.572616178,-0.038533807,0.648513565,0.076056775,0.649775748,0.96634401,0.648513565,0.390099085,0.44,0.44
cansperout,-0.027778395,0.07103677,-0.086268973,0.19879144,-0.35471647,-0.356168301,1,-0.41313038,-0.335681113,0.0171,-0.14306007,0.098503858,0.13541888,-0.002492986,0.130639085,-0.317937212,0.13541888,-0.593079446,0.0106,0.0106
cans_density,-0.143958786,0.01695529,-0.024368901,0.18857201,0.54022956,0.532950816,-0.413130379,1,0.448420348,0.0108,-0.14255629,0.034317069,0.09105356,-0.057239154,0.09060287,0.419783781,0.09105356,0.423505748,0.0799,0.0799
est_time,0.007779352,0.05760873,-0.056646115,0.68837203,0.98679478,0.985017729,-0.335681113,0.44842035,1,0.00842,0.685909503,-0.044957228,0.685887324,0.107631433,0.687928749,0.987157327,0.685887324,0.367314406,0.432,0.432
slope,-0.005092224,-0.01247936,-0.010786178,0.02758847,0.01092331,-0.003196331,0.017107845,0.01081196,0.008416982,1,-0.006184609,0.002154684,0.004198533,0.003213461,0.007665845,0.008561947,0.004198533,0.005518121,0.00007,0.00007
length,0.177924047,0.0853397,0.009287423,0.47324531,0.5668684,0.572616178,-0.14306007,-0.14255629,0.685909503,-0.00618,1,-0.070756798,0.601476673,0.180711764,0.605437836,0.711058451,0.601476673,0.121442896,0.191,0.191
backuponly,-0.079065722,0.42859907,-0.224066753,0.10356814,-0.04477463,-0.038533807,0.098503858,0.03431707,-0.044957228,0.00215,-0.070756798,1,0.204421182,-0.005092592,0.207934453,0.078733263,0.204421182,-0.170190241,-0.0043,-0.0043
time_obs_raw,0.01405365,0.18702721,-0.143443101,0.87217261,0.64487432,0.648513565,0.13541888,0.09105356,0.685887324,0.0042,0.601476673,0.204421182,1,0.190719362,0.995787437,0.711215451,1,-0.409356745,0.442,0.442
sinuosityindex,0.048154421,0.08878251,-0.087915905,0.20536596,0.0782521,0.076056775,-0.002492986,-0.05723915,0.107631433,0.00321,0.180711764,-0.005092592,0.190719362,1,0.192959583,0.102679576,0.190719362,-0.120854175,0.0777,0.0777
time_obs_secs,0.016244176,0.18913963,-0.143460993,0.87278117,0.64636926,0.649775748,0.130639085,0.09060287,0.687928749,0.00767,0.605437836,0.207934453,0.995787437,0.192959583,1,0.714176597,0.995787437,-0.399900605,0.444,0.444
predsecs,0.013290191,0.11673534,-0.087496357,0.68871313,0.96635098,0.96634401,-0.317937212,0.41978378,0.987157327,0.00856,0.711058451,0.078733263,0.711215451,0.102679576,0.714176597,1,0.711215451,0.350234733,0.414,0.414
time_obs,0.01405365,0.18702721,-0.143443101,0.87217261,0.64487432,0.648513565,0.13541888,0.09105356,0.685887324,0.0042,0.601476673,0.204421182,1,0.190719362,0.995787437,0.711215451,1,-0.409356745,0.442,0.442
difference,-0.001476426,-0.09769198,0.07756795,-0.26824127,0.39495717,0.390099085,-0.593079446,0.42350575,0.367314406,0.00552,0.121442896,-0.170190241,-0.409356745,-0.120854175,-0.399900605,0.350234733,-0.409356745,1,-0.0513,-0.0513
time_obs_days,-0.011833472,-0.01816003,-0.003458543,0.52682119,0.45275065,0.440302424,0.010569623,0.07985804,0.432495206,0.00007,0.191067263,-0.004302466,0.442130438,0.077709061,0.443947815,0.414337054,0.442130438,-0.051347895,1,1
time_obs_ex2,-0.011833472,-0.01816003,-0.003458543,0.52682119,0.45275065,0.440302424,0.010569624,0.07985804,0.432495206,0.00007,0.191067263,-0.004302466,0.442130438,0.077709061,0.443947815,0.414337054,0.442130438,-0.051347895,1,1
